stock_code,short_name,listed_legal_full_name,official_list_name,list_year,event_type,candidate_basis,review_status,leading_firm_direct_match,exchange_source_url,moa_source_url
002041,登海种业,山东登海种业股份有限公司,山东圣丰种业科技有限公司,2021,recognition,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm
002041,登海种业,山东登海种业股份有限公司,山东蓝海生态农业有限公司,2021,recognition,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm
002041,登海种业,山东登海种业股份有限公司,山东种业集团有限公司,2023,replacement,剔除常见公司后缀后的名称相似度=0.800，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002041,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
002082,ST万邦,万邦德医药控股集团股份有限公司,河南万邦国际农产品物流股份有限公司,2014,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002082,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002082,ST万邦,万邦德医药控股集团股份有限公司,河南万邦国际农产品物流股份有限公司,2018,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002082,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
002082,ST万邦,万邦德医药控股集团股份有限公司,河南万邦国际农产品物流股份有限公司,2020,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002082,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
002082,ST万邦,万邦德医药控股集团股份有限公司,河南万邦国际农产品物流股份有限公司,2023,monitor_pass,证券简称核心词出现在官方名单名称中，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002082,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山东俚岛海洋科技股份有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山东俚岛海洋科技股份有限公司,2018,monitor_pass,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://xccys.moa.gov.cn/gzdt/201812/t20181205_6314544.htm
002086,东方海洋,山东东方海洋科技股份有限公司,山东俚岛海洋科技股份有限公司,2020,monitor_pass,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山东福洋生物科技股份有限公司,2020,replacement,剔除常见公司后缀后的名称相似度=0.625，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山西东方物华农业科技有限责任公司,2020,replacement,剔除常见公司后缀后的名称相似度=0.556，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2020/202012/202102/P020210201587636946140.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山东邦基科技股份有限公司,2021,recognition,剔除常见公司后缀后的名称相似度=0.571，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm
002086,东方海洋,山东东方海洋科技股份有限公司,山东俚岛海洋科技股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
002086,东方海洋,山东东方海洋科技股份有限公司,山东福洋生物科技股份有限公司,2023,monitor_pass,剔除常见公司后缀后的名称相似度=0.625，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002086,https://www.moa.gov.cn/nybgb/2023/202306/202307/P020230719348171286633.pdf
002124,天邦食品,天邦食品股份有限公司,吉林天景食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002124,天邦食品,天邦食品股份有限公司,四川天味食品集团股份有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002124,天邦食品,天邦食品股份有限公司,浙江天和食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002124,天邦食品,天邦食品股份有限公司,遵义天阳食品有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002124,天邦食品,天邦食品股份有限公司,青岛天祥食品集团有限公司,2014,monitor_pass,剔除常见公司后缀后的名称相似度=0.600，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2014/shi/201712/P020180104776701107212.pdf
002124,天邦食品,天邦食品股份有限公司,邦杰食品股份有限公司,2019,recognition,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://www.moa.gov.cn/nybgb/2019/201912/202004/P020200410023357640054.pdf
002124,天邦食品,天邦食品股份有限公司,天津食品集团有限公司,2021,recognition,剔除常见公司后缀后的名称相似度=0.750，但当前法人全称不一致,待人工核实母集团/子公司/更名/无关同名；不得直接赋值,0,https://www.szse.cn/api/report/index/companyGeneralization?secCode=002124,https://xccys.moa.gov.cn/gzdt/202201/t20220113_6386872.htm
