stock_code,year,current_legal_full_name,current_short_name,entry_basis,announcement_id,announcement_title,announcement_sec_name,publication_date,pdf_url,adjunct_size,retrieved_date,annual_report_status
600108,2014,甘肃亚盛实业(集团)股份有限公司,亚盛集团,行业分类候选+龙头企业身份核实候选,1200900635,2014年年度报告,亚盛集团,2015-04-23,https://static.cninfo.com.cn/finalpage/2015-04-24/1200900635.PDF,2957,2026-08-06,已取得法定年度报告链接
600127,2014,金健米业股份有限公司,金健米业,龙头企业身份核实候选,1200806444,2014年年度报告,金健米业,2015-04-09,https://static.cninfo.com.cn/finalpage/2015-04-10/1200806444.PDF,2500,2026-08-06,已取得法定年度报告链接
600195,2014,中牧实业股份有限公司,中牧股份,龙头企业身份核实候选,1200732413,2014年年度报告,中牧股份,2015-03-23,https://static.cninfo.com.cn/finalpage/2015-03-24/1200732413.PDF,2858,2026-08-06,已取得法定年度报告链接
600211,2014,西藏诺迪康药业股份有限公司,西藏药业,龙头企业身份核实候选,1201133756,2014年年度报告(修订版),西藏药业,2015-06-10,https://static.cninfo.com.cn/finalpage/2015-06-11/1201133756.PDF,3542,2026-08-06,已取得法定年度报告链接
600251,2014,新疆冠农股份有限公司,冠农股份,龙头企业身份核实候选,1200806718,2014年年度报告,冠农股份,2015-04-09,https://static.cninfo.com.cn/finalpage/2015-04-10/1200806718.PDF,3437,2026-08-06,已取得法定年度报告链接
600257,2014,大湖健康产业股份有限公司,大湖股份,行业分类候选,1200936245,2014年年度报告,大湖股份,2015-04-28,https://static.cninfo.com.cn/finalpage/2015-04-29/1200936245.PDF,2303,2026-08-06,已取得法定年度报告链接
600265,2014,云南景谷林业股份有限公司,*ST景谷,行业分类候选,1200906399,2014年年度报告,ST景谷,2015-04-24,https://static.cninfo.com.cn/finalpage/2015-04-25/1200906399.PDF,2378,2026-08-06,已取得法定年度报告链接
600295,2014,内蒙古鄂尔多斯资源股份有限公司,鄂尔多斯,龙头企业身份核实候选,1200788371,2014年年度报告(修订版),鄂尔多斯,2015-04-03,https://static.cninfo.com.cn/finalpage/2015-04-04/1200788371.PDF,1287,2026-08-06,已取得法定年度报告链接
600300,2014,维维食品饮料股份有限公司,维维股份,龙头企业身份核实候选,1200722738,2014年年度报告,维维股份,2015-03-20,https://static.cninfo.com.cn/finalpage/2015-03-21/1200722738.PDF,4274,2026-08-06,已取得法定年度报告链接
600305,2014,江苏恒顺醋业股份有限公司,恒顺醋业,龙头企业身份核实候选,1200874128,2014年年度报告,恒顺醋业,2015-04-20,https://static.cninfo.com.cn/finalpage/2015-04-21/1200874128.PDF,2578,2026-08-06,已取得法定年度报告链接
600354,2014,甘肃省敦煌种业集团股份有限公司,敦煌种业,行业分类候选+龙头企业身份核实候选,1200720215,2014年年度报告,敦煌种业,2015-03-19,https://static.cninfo.com.cn/finalpage/2015-03-20/1200720215.PDF,1714,2026-08-06,已取得法定年度报告链接
