exchange,stock_code,short_name,legal_full_name,list_date,current_industry,exchange_status_code,coverage_scope,source_url,retrieved_date
上海证券交易所,600717,天津港,天津港股份有限公司,19960614,交通运输、仓储和邮政业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600718,东软集团,东软集团股份有限公司,19960618,信息传输、软件和信息技术服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600719,大连热电,大连热电股份有限公司,19960716,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600720,中交设计,中交设计咨询集团股份有限公司,19960716,科学研究和技术服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600721,百花医药,新疆百花村医药集团股份有限公司,19960626,科学研究和技术服务业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600722,金牛化工,河北金牛化工股份有限公司,19960626,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600724,宁波富达,宁波富达股份有限公司,19960716,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600725,云维股份,云南云维股份有限公司,19960702,批发和零售业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600726,华电能源,华电能源股份有限公司,19960701,电力、热力、燃气及水生产和供应业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
上海证券交易所,600727,鲁北化工,山东鲁北化工股份有限公司,19960702,制造业,2,上交所接口所列A股/科创板及指定状态,https://query.sse.com.cn/commonQuery.do?sqlId=COMMON_SSE_CP_GPJCTPZ_GPLB_GP_L,2026-08-06
